timeStep,numberOfParticles,specificSurfaceArea,particleVolume,modelCreationTime,modelCalculationTime,cumuCreationTime,cumuCalcTime,modelTime,cumuModelTime
1,2.0,4040000.0,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.0,5060000.0,25000000.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8.0,7560000.0,12500000.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16.0,9825000.0,6250000.0,0.0,0.0,0.0,0.0,0.0,0.0
5,32.0,12617500.0,3125000.0,0.0,0.0,0.0,0.0,0.0,0.0
6,64.0,17107500.0,1562500.0,0.0,0.0009968280792236328,0.0,0.0009968280792236328,0.0009968280792236328,0.0009968280792236328
7,128.0,23444375.0,781250.0,0.0009601116180419922,0.003027677536010742,0.0009601116180419922,0.004024505615234375,0.003987789154052734,0.004984617233276367
8,256.0,31682187.5,390625.0,0.0019943714141845703,0.004957675933837891,0.0029544830322265625,0.008982181549072266,0.006952047348022461,0.011936664581298828
9,512.0,42890781.25,195312.5,0.0019948482513427734,0.0059850215911865234,0.004949331283569336,0.014967203140258789,0.007979869842529297,0.019916534423828125
10,1024.0,57913281.25,97656.25,0.0069849491119384766,0.01395869255065918,0.011934280395507812,0.02892589569091797,0.020943641662597656,0.04086017608642578
11,2048.0,76807265.625,48828.125,0.01299142837524414,0.0269010066986084,0.024925708770751953,0.05582690238952637,0.03989243507385254,0.08075261116027832
12,4096.0,102995097.65625,24414.0625,0.028899669647216797,0.0628507137298584,0.05382537841796875,0.11867761611938477,0.0917503833770752,0.17250299453735352
13,8192.0,136418710.9375,12207.03125,0.10469651222229004,0.13363957405090332,0.1585218906402588,0.2523171901702881,0.23833608627319336,0.4108390808105469
14,16384.0,182855922.8515625,6103.515625,0.28626513481140137,0.2991940975189209,0.44478702545166016,0.551511287689209,0.5854592323303223,0.9962983131408691
15,32768.0,242375810.546875,3051.7578125,0.9992742538452148,0.7300746440887451,1.444061279296875,1.281585931777954,1.72934889793396,2.725647211074829
16,65536.0,322956505.1269531,1525.87890625,4.317481517791748,1.9936604499816895,5.761542797088623,3.2752463817596436,6.3111419677734375,9.036789178848267
17,131072.0,429380889.8925781,762.939453125,25.429975509643555,7.046159982681274,31.191518306732178,10.321406364440918,32.47613549232483,41.512924671173096
18,262144.0,572237046.8139648,381.4697265625,187.89554262161255,139.30435228347778,219.08706092834473,149.6257586479187,327.19989490509033,368.7128195762634
